Date,Daily Cases,Daily Deaths,Daily Test Cases,Total Deaths
03-11-20,1,0,0,0
03-12-20,0,0,0,0
3/13/2020,4,0,0,0
3/14/2020,1,0,0,0
3/15/2020,12,0,0,0
3/16/2020,29,0,0,0
3/17/2020,51,1,0,1
3/18/2020,93,2,0,3
3/19/2020,168,1,1981,4
3/20/2020,311,5,3656,9
3/21/2020,277,12,2953,21
3/22/2020,289,9,1758,30
3/23/2020,293,7,3672,37
3/24/2020,343,7,3952,44
3/25/2020,561,15,5035,59
3/26/2020,1196,16,7286,75
3/27/2020,2069,17,7533,92
3/28/2020,1704,16,7641,108
3/29/2020,1815,23,9982,131
3/30/2020,1610,37,11535,168
3/31/2020,2704,46,15422,214
04-01-20,2148,63,14396,277
04-02-20,2456,79,18757,356
04-03-20,2786,69,16160,425
04-04-20,3013,76,19664,501
04-05-20,3135,73,20065,574
04-06-20,3148,75,21400,649
04-07-20,3892,76,20023,725
04-08-20,4117,87,24900,812
04-09-20,4056,96,28578,908
04-10-20,4747,98,30864,1006
04-11-20,5138,95,33170,1101
04-12-20,4789,97,35720,1198
4/13/2020,4093,98,34456,1296
4/14/2020,4062,107,33070,1403
4/15/2020,4281,115,34090,1518
4/16/2020,4801,125,40427,1643
4/17/2020,4353,126,40270,1769
4/18/2020,3783,121,40520,1890
4/19/2020,3977,127,34344,2017
4/20/2020,4674,123,39703,2140
4/21/2020,4611,119,39429,2259
4/22/2020,3083,117,37535,2376
4/23/2020,3116,115,40962,2491
4/24/2020,3122,109,38351,2600
4/25/2020,2861,106,38308,2706
4/26/2020,2357,99,30177,2805
4/27/2020,2131,95,20143,2900
4/28/2020,2392,92,29230,2992
4/29/2020,2936,89,43498,3081
4/30/2020,2615,93,42004,3174
05-01-20,2188,84,42004,3258
05-02-20,1983,78,36318,3336
05-03-20,1670,61,24001,3397
05-04-20,1614,64,35771,3461
05-05-20,1832,59,33283,3520
05-06-20,2253,64,30303,3584
05-07-20,1977,57,30395,3641
05-08-20,1848,48,33687,3689
05-09-20,1546,50,35605,3739
05-10-20,1542,47,36187,3786
05-11-20,1114,55,32722,3841
05-12-20,1704,53,37351,3894
5/13/2020,1639,58,33332,3952
5/14/2020,1635,55,34821,4007
5/15/2020,1708,48,38565,4055
5/16/2020,1610,41,42236,4096
5/17/2020,1368,44,35369,4140
5/18/2020,1158,31,25141,4171
5/19/2020,1022,28,25382,4199
5/20/2020,972,23,20838,4222
5/21/2020,961,27,33633,4249
